회사명,시장구분,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
삼영,유가,003720,플라스틱제품 제조업,"합성수지(BOPP,캐파시타),PPC,랩,종이상자(카톤팩) 제조",1976-06-30,12월,"이석준, 조영한",http://www.sycc.co.kr,서울특별시
성신양회,유가,004980,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,레미콘 제조",1976-06-30,12월,한인호,http://www.sungshincement.co.kr,서울특별시
신라교역,유가,004970,어로 어업,"원양어업(참치,명태,휠레트,연육,명란,새우),어획물 판매/직물 수출",1976-06-30,12월,김호운,http://www.sla.co.kr,서울특별시
신풍,유가,002870,기타 전문 도매업,"마닐라판지 제조,도소매",1976-06-30,12월,정학헌,http://spinc.co.kr,서울특별시
종근당홀딩스,유가,001630,의약품 제조업,"의약품(항생제,위궤양치료제,장기이식면역억제제,고지혈증치료제(로바이드)) 제조,도매",1976-06-30,12월,최희남,http://www.ckd-holdings.com,서울특별시
크라운해태홀딩스,유가,005740,기타 금융업,"비스켓,쵸코렛,사탕,웨이퍼 제조,도매",1976-06-30,12월,윤석빈,http://www.crown.co.kr,서울특별시
한독,유가,002390,의약품 제조업,"의약품(소화제,크라포란,라식스)제조,도매,부동산 임대",1976-06-30,12월,"김영진, 백진기",http://www.handok.co.kr,서울특별시
SG글로벌,유가,001380,자동차 신품 부품 제조업,자동차시트 및 자동차시트커버(Seat Trim Cover),1976-06-29,12월,이의범,http://www.sgglobal.co.kr,충청남도
SK디스커버리,유가,006120,기타 금융업,"화섬사(폴리에스테르원사(폴리에스터F,폴리에스터SF),폴리에스터직물,아세테이트),석유화학부문(TPA,DMT),섬유원료,직물,BOTTLE용CHIP,접착제,폴리우레탄 제조,",1976-06-29,12월,"최창원, 손현호",http://www.skdiscovery.com,경기도
샘표,유가,007540,기타 금융업,"간장,된장,고추장 제조,가공,판매,무역",1976-06-29,12월,박진선,http://www.sempio.com,서울특별시
흥아해운,유가,003280,해상 운송업,외항화물운송업(케미컬탱커),1976-06-29,12월,이환구,http://www.heung-a.com,서울특별시
GS글로벌,유가,001250,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대",1976-06-26,12월,김성원,http://www.gsgcorp.com,서울특별시
금호건설,유가,002990,건물 건설업,"종합건설/여객운송,관광/부동산 임대,분양",1976-06-26,12월,조완석,http://www.kumhoenc.com,전라남도
금호건설,유가,002990,건물 건설업,"종합건설/여객운송,관광/부동산 임대,분양",1976-06-26,12월,조완석,http://www.kumhoenc.com,전남광주통합특별시
삼부토건,유가,001470,토목 건설업,"토목공사,건축공사,포장공사,건설업,분양사업/건설자재 제조",1976-06-26,12월,오일록,http://www.sambu.co.kr,서울특별시
삼화콘덴서공업,유가,001820,전자부품 제조업,콘덴서(축전기) 제조,1976-06-26,12월,"오영주, 박진",http://www.samwha.com,경기도
페이퍼코리아,유가,001020,"펄프, 종이 및 판지 제조업","제지(신문용지,중질지),합판 제조,건설,석유류 판매",1976-06-26,12월,문성운,http://www.papercorea.co.kr,전북특별자치도
동양,유가,001520,"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘/건설공사/산업용 송풍기,1976-06-25,12월,"정진학, 유정민(각자 대표이사)",http://www.tongyanginc.co.kr,서울특별시
한화,유가,000880,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",1976-06-24,12월,"김동관, 류두형, 김우석",http://www.hanwhacorp.co.kr,서울특별시
JW중외제약,유가,001060,의약품 제조업,"수액제,이상지질혈증치료제,혈우병치료제,소화기궤양치료제,항생제,도매",1976-06-14,12월,"대표이사 신영섭, 함은경(각자 대표이사)",http://www.jw-pharma.co.kr,경기도
영풍,유가,000670,1차 비철금속 제조업,"제1차 금속산업(아연괴,황산,카드뮴괴),건전지 제조,무역",1976-06-12,12월,김기호,http://www.ypzinc.co.kr,서울특별시
PKC,유가,001340,기초 화학물질 제조업,"가성소다,합성염산 제조,판매",1976-06-10,12월,윤해구,http://www.pkc.kr,전북특별자치도
성창기업지주,유가,000180,회사 본부 및 경영 컨설팅 서비스업,"합판, 마루, 파티클보드, 우드칩, 포르말린 등 제조",1976-06-02,12월,우인석,http://www.sce.kr,부산광역시
한창,유가,005110,기계장비 및 관련 물품 도매업,"소화기, 통신장비 유통",1976-06-01,12월,이동우,http://www.hanchang.co.kr,부산광역시
삼화왕관,유가,004450,기타 금속 가공제품 제조업,"납세용 일반병마개,알루미늄캡,플라스틱캡 제조,판매,금속인쇄,수출",1976-05-28,12월,고기영,http://www.samhwa.co.kr,경기도
KR모터스,유가,000040,그외 기타 운송장비 제조업,"이륜차(오토바이) 제조,도매",1976-05-25,12월,정재경,http://www.krmotors.com,경상남도
고려제강,유가,002240,1차 철강 제조업,"PC강선,선재 2차제품,와이어로프,비드와이어,SC(Surpass Coat) Stand,각종선재 제조,도매",1976-05-25,12월,주종대,http://www.kiswire.com,부산광역시
태양금속공업,유가,004100,자동차 신품 부품 제조업,"자동차용 강력볼트,너트,전기전자제품용 나사,자전거부품,전해동박,도금도장설비 제조",1976-05-25,12월,한우삼. 한하워드성(각자 대표이사),http://www.taeyangmetal.com,경기도
SUN&L,유가,002820,플라스틱제품 제조업,"펌프 디스펜서, 스프레이 트리거",1976-05-22,12월,이윤규,http://sunandl.com/,인천광역시
DRB동일,유가,004840,고무제품 제조업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",1976-05-21,12월,조현민,http://www.drbworld.com,부산광역시
넥센타이어,유가,002350,고무제품 제조업,"타이어,후랩,고무제타이어(승용자동차용,래디알구조) 제조",1976-05-19,12월,대표이사 부회장 강호찬 대표이사 사 장 김현석,http://www.nexentire.com,경상남도
SG세계물산,유가,004060,상품 종합 도매업,"피복류,봉제품,P.E제품 수출입,도매,제조/조경사업",1976-04-19,12월,이의범,http://www.sgsegye.com,서울특별시
롯데정밀화학,유가,004000,기초 화학물질 제조업,"염소·셀룰로스계열, 암모니아 계열, 전자재료 등 화학제품 제조",1976-04-15,12월,정승원,http://www.lottefinechem.com,울산광역시
동화약품,유가,000020,의약품 제조업,"의약품 제조,판매,수출입",1976-03-24,12월,"유준하, 윤인호(각자 대표이사)",http://www.dong-wha.co.kr,서울특별시
DL,유가,000210,기초 화학물질 제조업,지주회사,1976-02-02,12월,김종현,http://www.dlholdings.co.kr,서울특별시
LX인터내셔널,유가,001120,상품 중개업,"전자,기계,화공,유류.금속,의류 수출입,도소매",1976-01-30,12월,구혁서,http://www.lxinternational.com,서울특별시
국제약품,유가,002720,의약품 제조업,"항생제,안약,제약 제조,도매",1975-12-27,12월,남태훈,http://www.kukjepharm.co.kr,경기도
태광산업,유가,003240,화학섬유 제조업,"석유화학제품(PTA,AN),화섬사,직물 등",1975-12-27,12월,"이부의, 정인철(공동 대표이사)",http://www.taekwang.co.kr,서울특별시
부산주공,유가,005030,자동차 신품 부품 제조업,"자동차부품(엔진부품,조향장치부품,브레이장치부품,오토미셧부품) 제조,도매/부동산 임대",1975-12-26,12월,장세훈,http://www.pci21c.com,부산광역시
CS홀딩스,유가,000590,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22,12월,장원영,http://www.chosunwelding.com,경상북도
DB하이텍,유가,000990,반도체 제조업,반도체 제조,1975-12-12,12월,조기석,http://www.dbhitek.co.kr,경기도
대림통상,유가,006570,기타 금속 가공제품 제조업,"수전금구,비데,위생도기,샤워부스,타일,양식기,무역",1975-11-20,12월,"고은희, 이상원",http://www.dlt.co.kr,서울특별시
유유제약,유가,000220,의약품 제조업,"의약품 제조,판매",1975-11-18,12월,"유원상, 박노용(각자대표)",http://www.yuyu.co.kr,충청북도
강남제비스코,유가,000860,기타 화학제품 제조업,"도료(페인트,락카,신나,에나멜,바니쉬),안료 제조,판매",1975-11-12,12월,김재현,http://www.jevisco.com,부산광역시
대신증권,유가,003540,금융 지원 서비스업,"유가증권 위탁매매,인수주선,자기매매 기타 금융서비스",1975-10-01,12월,진승욱,http://www.daishin.com,서울특별시
NH투자증권,유가,005940,금융 지원 서비스업,"증권업,종합금융",1975-09-30,12월,"신재욱, 배광수",http://www.nhqv.com,서울특별시
미래에셋증권,유가,006800,금융 지원 서비스업,"유가증권매매,유가증권위탁매매,유가증권인수",1975-09-30,12월,"김미섭, 허선호",http://securities.miraeasset.com,서울특별시
신일전자,유가,002700,기계장비 및 관련 물품 도매업,"가정용 전기기구(선풍기,난로,세탁기),전자기구,연구기구 제조,수출입",1975-09-30,12월,정윤석,http://www.shinil.co.kr,충청남도
삼성제약,유가,001360,의약품 제조업,"의약품(까스명수,쓸기담,에프킬라에어졸,액체우황청심원) 제조,도매",1975-07-04,12월,정성택 대표이사,http://www.sspharm.co.kr,경기도
삼성화재해상보험,유가,000810,보험업,"손해보험의 원수,재보험,운용자산의 투자활동",1975-06-30,12월,이문화,http://www.samsungfire.com,서울특별시
삼양식품,유가,003230,기타 식품 제조업,"라면,스낵,유제품,장유,식용유,사료,향신료,건강음료(루이보스 티) 제조,도매",1975-06-30,12월,"김정수, 김동찬",http://www.samyangfoods.com,서울특별시
한화손해보험,유가,000370,보험업,손해보험,1975-06-30,12월,나채범,http://www.hwgeneralins.com/,서울특별시
NI스틸,유가,008260,1차 철강 제조업,"스틸파이프,철강재임가공 제조,도매",1975-06-28,12월,이창환,http://www.hcr4u.com,서울특별시
일동홀딩스,유가,000230,의약품 제조업,"의약품 제조,도매",1975-06-28,12월,최규환,http://www.ildong.com,서울특별시
대동,유가,000490,특수 목적용 기계 제조업,"경운기,트랙터,이앙기,바인더,수확기(콤바인),농업용엔진 및 부품 제조,판매",1975-06-27,12월,"김준식, 원유현",http://www.daedong.co.kr,대구광역시
오리온홀딩스,유가,001800,기타 금융업,자회사 관리 지주사업 등,1975-06-27,12월,허인철,http://www.oriongroup.co.kr,서울특별시
깨끗한나라,유가,004540,"펄프, 종이 및 판지 제조업","펄프,판지원지,화장지 제조,수출입",1975-06-25,12월,이동열,http://www.kleannara.com,서울특별시
태원물산,유가,001420,자동차 신품 부품 제조업,"자동차부품,워터펌프,인산정제석고,건축자재(불연내장재), 제조,수출입",1975-06-24,12월,남기영,http://www.twms.co.kr,서울특별시
코오롱,유가,002020,기타 금융업,지주회사,1975-06-23,12월,"안병덕, 이규호",http://www.kolon.com,경기도
삼성전자,유가,005930,통신 및 방송 장비 제조업,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",1975-06-11,12월,"전영현, 노태문",http://www.samsung.com/sec,경기도
DH오토넥스,유가,000300,자동차 신품 부품 제조업,자동차부품제조,1975-06-09,12월,김영식,http://dhautonex.co.kr,전북특별자치도
BYC,유가,001460,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,김 대 환,http://home.byc.co.kr,서울특별시
KG모빌리티,유가,003620,자동차용 엔진 및 자동차 제조업,"자동차,자동차부품,차륜,정비 제조/도소매",1975-05-29,12월,"곽재선, 황기영 (각자대표이사)",http://www.kg-mobility.com,경기도
삼립,유가,005610,기타 식품 제조업,"빵,아이스크림,과자,케익,유산균음료,인스턴트식품,병조림,면류,식용유 제조,판매",1975-05-02,12월,"도세호, 정인호 (각자 대표이사)",http://www.spcsamlip.co.kr,경기도
흥국화재,유가,000540,보험업,손해보험,1974-12-05,12월,김대현,http://www.insurance.co.kr,서울특별시
일양약품,유가,007570,의약품 제조업,"일반의약품(원비디,영비천,아진탈,디세텔,노루모산),항암제(베타-이뮤난),전문의약품 제조,판매,수출입",1974-08-28,12월,정유석,http://www.ilyang.co.kr,경기도
한진,유가,002320,도로 화물 운송업,"포장화물,택배산업,항만하역,고속버스사업,운수보관",1974-08-12,12월,노삼석,http://www.hanjin.com,서울특별시
한국수출포장공업,유가,002200,"골판지, 종이 상자 및 종이용기 제조업","골판지상자,골판지원지 제조,판매",1974-06-28,12월,대표이사 회장 허용삼 대표이사 사장 허정훈(각자대표이사),http://www.keppack.co.kr,서울특별시
현대자동차,유가,005380,자동차용 엔진 및 자동차 제조업,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",1974-06-28,12월,"정의선, 무뇨스 바르셀로 호세 안토니오, 최영일(각자 대표이사)",http://www.hyundai.com,서울특별시
모나미,유가,005360,생활용품 도매업,"BP153(BALL POINT PEN), P-3000(PLUS PEN), 유성매직, 보드마카, 네임펜, PARKER, WARTERMAN, 색연필",1974-06-26,12월,송하윤,http://www.monami.com,경기도
한화솔루션,유가,009830,기초 화학물질 제조업,"합성수지,유화부문(LDPE,LLDPE)제품 제조,플라스틱가공품(PVC),CA,무기화학제품,부동산업",1974-06-19,12월,"박승덕, 남정운, 김동관",http://hcc.hanwha.co.kr,서울특별시
아세아,유가,002030,회사 본부 및 경영 컨설팅 서비스업,"회사본부,지주회사 및 경영컨설팅 서비스업",1974-06-03,12월,"이훈범, 오기호",http://asiaholdings.co.kr,서울특별시
카프로,유가,006380,기초 화학물질 제조업,"카프로락탐,유안비료 제조",1974-05-28,12월,박성명,http://www.hcccapro.co.kr,울산광역시
